Alter ,Kategorie,Geschlecht,2010,2011,2012,2013,2014,2015,2016
A1,PKW,m ,8.964,8.660,8.226,8.182,8.464,8.972,9.530
A1,PKW,w,3.700,4.029,3.868,3.637,4.105,4.275,4.731
A1,Fahrrad,m ,2.036,2.234,2.089,1.846,2.086,2.134,2.291
A1,Fahrrad,w,1.495,1.590,1.454,1.337,1.537,1.535,1.662
A1,Fußgänger,m ,585,646,561,558,569,546,602
A1,Fußgänger,w,790,719,632,687,701,757,828
A2,PKW,m ,8.671,9.700,9.454,9.064,8.996,8.531,7.948
A2,PKW,w,3.330,4.063,4.129,4.011,4.103,4.070,3.799
A2,Fahrrad,m ,2.097,2.653,2.576,2.443,2.490,2.319,2.110
A2,Fahrrad,w,1.546,1.985,1.948,1.787,1.939,1.740,1.541
A2,Fußgänger,m ,625,695,739,646,659,605,572
A2,Fußgänger,w,968,1.089,1.076,1.025,1.010,887,847
A3,PKW,m ,10.153,11.624,11.883,12.451,13.747,15.135,15.857
A3,PKW,w,3.270,4.137,4.243,4.567,5.326,5.796,6.497
A3,Fahrrad,m ,2.130,2.795,2.891,3.007,3.541,3.826,4.264
A3,Fahrrad,w,1.695,1.952,2.091,2.112,2.421,2.551,2.717
A3,Fußgänger,m ,1.096,1.289,1.337,1.397,1.412,1.531,1.642
A3,Fußgänger,w,2.178,2.647,2.582,2.642,2.711,2.820,2.852
,,,55.329,64518,61.779,63412,65.817,70045,70.290